#{"t_start": 1665657962.7080138, "env_id": null}
r,l,t
315.193774,859,1456.402837
88.117551,286,1459.192953
316.208282,807,1467.002176
315.639233,813,1474.883942
313.663805,875,1483.957722
316.734416,803,1491.69554
215.097519,592,1497.620204
294.416032,1091,1508.436625
315.465705,840,1516.523365
191.374473,558,1522.35835
218.278442,601,1528.558135
234.194302,749,1535.716337
225.75088,690,1542.339358
281.427105,849,1550.517335
316.006459,824,1558.496917
317.151083,806,1566.279498
316.221351,816,1574.092676
306.492563,869,1583.348624
255.387437,684,1591.096516
315.900061,827,1599.891728
289.231911,826,1608.438706
315.841906,811,1616.8827
96.732627,302,1620.025782
247.274038,674,1627.023633
88.850067,316,1630.319867
310.113318,860,1639.145104
315.122173,822,1647.623889
316.35805,802,1655.963332
311.891449,876,1664.934069
143.02,418,1669.331556
314.920786,852,1678.078293
314.679039,830,1687.466926
313.761552,880,1696.720391
315.828284,797,1705.06974
312.833015,845,1714.004534
-5.947911,36,1714.379043
-6.240717,43,1714.82798
-5.364729,37,1715.221969
-5.765284,35,1715.599723
-15.153437,100,1716.639041
141.944449,575,1722.604989
278.393021,823,1731.11747
315.456073,836,1739.84813
314.917699,838,1748.971003
314.702408,806,1757.682103
316.609537,814,1766.147175
316.795455,793,1774.388743
314.462996,817,1783.067461
315.581564,824,1792.537688
314.30114,814,1801.199299
314.660849,811,1810.252209
314.696861,802,1818.87488
314.322988,862,1828.193328
316.780687,804,1836.722338
314.740663,849,1846.248336
315.68328,801,1855.167628
315.765064,820,1864.162709
315.211951,806,1872.691836
313.37785,894,1882.535969
0.938878,96,1883.550354
152.940881,447,1888.171361
228.604366,627,1894.775398
44.464346,200,1897.206708
314.622939,822,1905.808378
308.15411,967,1915.799118
310.160097,946,1925.628724
316.662641,810,1934.053497
316.363802,797,1942.235615
315.698207,854,1951.046572
315.927686,839,1959.631222
312.31411,875,1968.692684
315.686405,799,1976.990582
255.924847,668,1983.948926
315.76287,839,1992.627342
315.857278,837,2001.930038
315.944076,792,2010.101547
317.019165,796,2018.35024
82.380961,283,2021.266266
315.798471,822,2029.82851
315.255386,804,2038.339165
313.927889,885,2047.554788
316.319796,821,2056.136519
315.839982,823,2064.661536
315.77571,837,2073.417102
316.943507,815,2081.887282
199.313517,556,2087.653671
312.434599,795,2095.910803
316.477201,794,2104.381069
283.990725,848,2113.554655
225.948509,596,2119.806086
316.14586,795,2127.995687
-9.19355,63,2128.649887
185.557299,896,2137.953057
316.668132,793,2146.222281
278.73078,750,2154.07381
316.669269,812,2162.528379
316.226875,819,2171.074843
316.225568,809,2179.472025
207.013435,558,2185.23559
316.533584,830,2193.813487
316.242957,821,2202.298883
317.534136,803,2211.305186
316.153989,835,2220.020929
317.008054,813,2228.498848
123.7068,361,2232.243144
300.024161,900,2241.540342
315.750539,821,2250.002812
316.567967,820,2258.588476
255.265616,782,2266.719457
315.181409,884,2275.81601
314.737711,873,2284.947514
242.180813,645,2291.722511
317.744648,800,2300.096179
316.116222,849,2309.039946
236.228314,650,2316.444544
312.488759,862,2325.435181
303.55987,876,2334.54536
317.272971,806,2342.971301
316.649287,786,2351.214706
310.821487,921,2360.7512
310.78075,908,2370.24835
123.278487,394,2374.322641
305.694868,849,2383.254024
311.247324,1000,2393.706697
315.961312,837,2402.591936
124.678791,372,2406.459651
316.45737,809,2414.957315
213.372084,606,2422.087327
314.32382,866,2431.004059
315.777817,817,2439.428499
314.915269,831,2448.101694
314.158405,886,2457.186243
314.094834,849,2465.907677
315.790388,800,2474.304359
